m,k,threshold,candidates,true_positives,false_positives,build_time_sec,candidate_time_sec,eval_time_sec
9,6,0.9,21652325,18644,21633681,12.84,,12826.70
3,18,0.9,40276,16031,24245,1.949883222579956,,0.019762277603149414
2,27,0.9,14002,13903,99,0.4792759418487549,,0.00944828987121582
3,18,0.9,40276,16031,24245,0.651139497756958,,0.021468400955200195
2,27,0.9,14002,13903,99,0.4456002712249756,,0.003984689712524414
3,18,0.9,40276,16031,24245,0.6467487812042236,,0.024799346923828125
2,27,0.9,14002,13903,99,0.4490387439727783,,0.008588314056396484
3,18,0.9,40276,16031,24245,0.5654096603393555,,0.018074989318847656
2,27,0.9,14002,13903,99,0.44348764419555664,,0.009453773498535156
6,21,0.9,23041,16778,6263,27.047598600387573,,0.1452171802520752
2,15,0.8,133772,16012,117760,24.73697257041931,,1.2416298389434814
2,15,0.8,133772,16012,117760,0.3153395652770996,0.04419136047363281,1.7002623081207275
3,15,0.8,198207,16922,181285,20.234104871749878,0.06935596466064453,0.9731671810150146
4,15,0.8,259840,17574,242266,31.997798442840576,0.12658452987670898,1.185530662536621
5,15,0.8,316452,17987,298465,38.17329478263855,0.1638631820678711,1.0521240234375
6,15,0.8,374830,18476,356354,27.578919649124146,0.16906166076660156,1.0841400623321533
7,15,0.85,438576,18569,420007,27.1299569606781,0.24891209602355957,7.571016788482666
3,19,0.9,28097,15913,12184,43.97338891029358,0.06959986686706543,0.10611963272094727
3,25,0.85,15083,14878,205,31.35229182243347,0.0713052749633789,0.019036531448364258
4,19,0.85,32331,16609,15722,41.837098836898804,0.09552574157714844,0.03335213661193848
5,17,0.8,93529,17499,76030,29.028905868530273,0.10701107978820801,0.6353895664215088
5,23,0.8,17679,16328,1351,28.62324070930481,0.10654854774475098,0.020514726638793945
4,17,0.85,78860,16997,61863,37.162429094314575,0.08496308326721191,0.06888246536254883
8,15,0.8,501058,18953,482105,30.319673776626587,0.26055240631103516,1.058692216873169
4,25,0.8,15746,15496,250,36.51539182662964,0.1108083724975586,0.017767667770385742
2,15,0.85,133772,15949,117823,32.213868618011475,0.060544729232788086,0.11289501190185547
5,19,0.8,36721,17213,19508,29.541518211364746,0.0986945629119873,0.07522296905517578
6,19,0.85,41463,17465,23998,40.58299255371094,0.2646923065185547,0.13280057907104492
7,17,0.8,126634,18087,108547,32.02152991294861,0.15894103050231934,0.3761625289916992
5,21,0.85,21665,16617,5048,1.0920665264129639,0.11760282516479492,0.05747628211975098
4,23,0.9,16913,15739,1174,39.93597340583801,0.1002349853515625,0.01714491844177246
2,21,0.8,16799,14819,1980,30.37742567062378,0.041849374771118164,0.014906883239746094
4,15,0.85,259840,17469,242371,26.585479021072388,0.0971841812133789,0.16409778594970703
5,17,0.85,93529,17403,76126,0.9778509140014648,0.11209535598754883,0.0779409408569336
5,23,0.85,17679,16297,1382,0.8492801189422607,0.08989953994750977,0.022602558135986328
7,15,0.9,438576,18035,420541,0.8312349319458008,0.3181595802307129,0.2759664058685303
6,21,0.8,23041,16991,6050,45.34895658493042,0.2942631244659424,0.022170066833496094
3,25,0.9,15083,14813,270,0.9119575023651123,0.07492995262145996,0.013147830963134766
8,15,0.85,501058,18742,482316,1.3508400917053223,0.29691529273986816,0.36871910095214844
4,19,0.9,32331,16431,15900,0.637742280960083,0.22475123405456543,0.023669004440307617
2,17,0.8,45594,15503,30091,32.01187038421631,0.05670976638793945,0.049733877182006836
2,23,0.8,15051,14503,548,46.54902458190918,0.04080533981323242,0.016423940658569336
4,17,0.9,78860,16745,62115,0.9353501796722412,0.2614283561706543,0.07142996788024902
4,21,0.8,20260,16226,4034,42.504669427871704,0.08771586418151855,0.020963191986083984
2,25,0.85,14274,14142,132,42.37608504295349,0.21825194358825684,0.012171506881713867
4,25,0.85,15746,15477,269,1.252751350402832,0.07930827140808105,0.015166997909545898
5,19,0.85,36721,17167,19554,0.9449713230133057,0.10962414741516113,0.03563117980957031
6,17,0.8,110460,17793,92667,31.71102547645569,0.2995302677154541,0.0950167179107666
7,17,0.85,126634,17951,108683,1.260460376739502,0.19226861000061035,0.1117866039276123
2,15,0.9,133772,15763,118009,0.3670978546142578,0.1464519500732422,0.10333752632141113
2,19,0.8,22930,15192,7738,33.942131996154785,0.049407958984375,0.019168615341186523
6,19,0.9,41463,17155,24308,1.6071653366088867,0.14314889907836914,0.04010748863220215
2,21,0.85,16799,14798,2001,0.43359947204589844,0.043009281158447266,0.016286611557006836
5,25,0.8,16254,15919,335,34.61452507972717,0.11089301109313965,0.017732858657836914
5,21,0.9,21665,16475,5190,1.4790282249450684,0.13114333152770996,0.027420759201049805
5,15,0.85,316452,17859,298593,0.9226248264312744,0.19717168807983398,0.2881503105163574
3,15,0.85,198207,16838,181369,37.119022369384766,0.20324993133544922,0.24579453468322754
6,21,0.85,23041,16942,6099,2.367051839828491,0.17429852485656738,0.03602123260498047
4,15,0.9,259840,17166,242674,1.1096723079681396,0.37151145935058594,0.2421412467956543
2,17,0.85,45594,15473,30121,0.5917525291442871,0.05751347541809082,0.05028963088989258
2,23,0.85,15051,14487,564,0.7315812110900879,0.1851944923400879,0.019220352172851562
5,17,0.9,93529,17126,76403,1.2614970207214355,0.17100787162780762,0.1155233383178711
3,21,0.8,18811,15687,3124,34.98436522483826,0.058063507080078125,0.017975568771362305
4,21,0.85,20260,16191,4069,1.1910996437072754,0.08993268013000488,0.022981643676757812
5,23,0.9,17679,16156,1523,1.1275570392608643,0.11971259117126465,0.016276836395263672
8,15,0.9,501058,18167,482891,1.2825157642364502,0.28674960136413574,0.40230441093444824
6,17,0.85,110460,17677,92783,0.9850811958312988,0.14687609672546387,0.0942533016204834
4,25,0.9,15746,15402,344,0.7598848342895508,0.08700752258300781,0.013515949249267578
2,25,0.9,14274,14092,182,0.4538719654083252,0.039751529693603516,0.01231527328491211
2,19,0.85,22930,15168,7762,0.49524688720703125,0.0409085750579834,0.01707625389099121
5,19,0.9,36721,16895,19826,1.1738471984863281,0.1257035732269287,0.03627514839172363
3,17,0.8,63786,16489,47297,60.774503231048584,0.42436814308166504,0.11011791229248047
3,23,0.8,16120,15328,792,46.10511636734009,0.07315587997436523,0.012405633926391602
5,25,0.85,16254,15894,360,2.0267345905303955,0.13797378540039062,0.020642757415771484
7,17,0.9,126634,17589,109045,1.4984748363494873,0.46562719345092773,0.13435816764831543
2,21,0.9,16799,14715,2084,0.4732692241668701,0.048322439193725586,0.011850833892822266
2,25,0.8,14274,14156,118,0.6636302471160889,0.04427051544189453,0.015124320983886719
5,15,0.9,316452,17506,298946,1.2031269073486328,0.18511343002319336,0.2732534408569336
3,15,0.9,198207,16593,181614,0.5063266754150391,0.09657883644104004,0.15875482559204102
3,19,0.8,28097,16103,11994,0.8231282234191895,0.08273553848266602,0.027894020080566406
3,21,0.85,18811,15661,3150,0.7873778343200684,0.3159611225128174,0.01984715461730957
2,17,0.9,45594,15362,30232,0.5046596527099609,0.04672956466674805,0.04323220252990723
2,23,0.9,15051,14421,630,0.8843739032745361,0.19413042068481445,0.014959573745727539
4,21,0.9,20260,16063,4197,0.9435064792633057,0.12426900863647461,0.03650021553039551
6,17,0.9,110460,17361,93099,1.37611985206604,0.21037030220031738,0.12326979637145996
3,17,0.85,63786,16431,47355,0.8647861480712891,0.08064651489257812,0.06972789764404297
3,23,0.85,16120,15307,813,1.1051342487335205,0.09332680702209473,0.019971132278442383
6,15,0.85,374830,18314,356516,48.66619539260864,0.1873927116394043,0.4223954677581787
2,19,0.9,22930,15071,7859,1.1059942245483398,0.14721131324768066,0.013253927230834961
5,25,0.9,16254,15801,453,1.2758333683013916,0.12182450294494629,0.014405012130737305
3,19,0.85,28097,16066,12031,0.8498878479003906,0.22586774826049805,0.030240774154663086
4,23,0.8,16913,15880,1033,1.2115716934204102,0.1095576286315918,0.028438806533813477
7,15,0.8,438576,18760,419816,1.4951939582824707,0.3063235282897949,0.4430215358734131
3,21,0.9,18811,15553,3258,0.9265892505645752,0.06667971611022949,0.02046823501586914
3,25,0.8,15083,14896,187,0.923792839050293,0.08054399490356445,0.01956915855407715
4,19,0.8,32331,16649,15682,1.0570664405822754,0.304002046585083,0.04450869560241699
4,17,0.8,78860,17085,61775,0.8976075649261475,0.12983369827270508,0.06816911697387695
3,17,0.9,63786,16249,47537,0.8113441467285156,0.2446913719177246,0.06261920928955078
3,23,0.9,16120,15216,904,0.8706884384155273,0.09037923812866211,0.03461456298828125
6,19,0.8,41463,17529,23934,1.814521312713623,0.17172026634216309,0.04026508331298828
4,23,0.85,16913,15854,1059,0.9840564727783203,0.09867167472839355,0.017136335372924805
6,15,0.9,374830,17832,356998,0.9820983409881592,0.44641709327697754,0.29071640968322754
5,21,0.8,21665,16657,5008,1.1093084812164307,0.1317894458770752,0.020056962966918945
